Order Date,Customer ID,Region,Category,Product Name,Quantity,Sales,Profit,,
2026-01-01,CUST-1001,North,Beverages,Coffee,2,16.56,5.52,,
2026-01-02,CUST-1002,South,Bakery,Bread,5,14.4,4.8,,
2026-01-03,CUST-1003,East,Dairy,Milk,4,14,4.2,,
2026-01-04,CUST-1004,West,Snacks,Chips,3,9.36,3.12,,
2026-01-05,CUST-1005,North,Produce,Apples,6,12.96,5.18,,
2026-01-06,CUST-1006,South,Beverages,Juice,4,14.72,5.15,,
2026-01-07,CUST-1007,East,Bakery,Cake,2,19.2,6.72,,
2026-01-08,CUST-1008,West,Dairy,Cheese,3,21,6.3,,
2026-01-09,CUST-1009,North,Snacks,Cookies,5,18.2,7.28,,
2026-01-10,CUST-1010,South,Produce,Bananas,8,13.82,5.53,,
2026-01-11,CUST-1011,East,Beverages,Coffee,2,16.56,5.52,,
2026-01-12,CUST-1012,West,Bakery,Bread,5,14.4,4.8,,
2026-01-13,CUST-1013,North,Dairy,Milk,4,14,4.2,,
2026-01-14,CUST-1014,South,Snacks,Chips,3,9.36,3.12,,
2026-01-15,CUST-1015,East,Produce,Apples,6,12.96,5.18,,
2026-01-16,CUST-1016,West,Beverages,Juice,4,14.72,5.15,,
2026-01-17,CUST-1017,North,Bakery,Cake,2,19.2,6.72,,
2026-01-18,CUST-1018,South,Dairy,Cheese,3,21,6.3,,
2026-01-19,CUST-1019,East,Snacks,Cookies,5,18.2,7.28,,
2026-01-20,CUST-1020,West,Produce,Bananas,8,13.82,5.53,,
2026-01-21,CUST-1021,North,Beverages,Coffee,2,16.56,5.52,,
2026-01-22,CUST-1022,South,Bakery,Bread,5,14.4,4.8,,
2026-01-23,CUST-1023,East,Dairy,Milk,4,14,4.2,,
2026-01-24,CUST-1024,West,Snacks,Chips,3,9.36,3.12,,
2026-01-25,CUST-1025,North,Produce,Apples,6,12.96,5.18,,
2026-01-26,CUST-1026,South,Beverages,Juice,4,14.72,5.15,,
2026-01-27,CUST-1027,East,Bakery,Cake,2,19.2,6.72,,
2026-01-28,CUST-1028,West,Dairy,Cheese,3,21,6.3,,
2026-02-01,CUST-1029,North,Snacks,Cookies,5,18.2,7.28,,
2026-02-02,CUST-1030,South,Produce,Bananas,8,13.82,5.53,,
2026-02-03,CUST-1031,East,Beverages,Coffee,2,16.56,5.52,,
2026-02-04,CUST-1032,West,Bakery,Bread,5,14.4,4.8,,
2026-02-05,CUST-1033,North,Dairy,Milk,4,14,4.2,,
2026-02-06,CUST-1034,South,Snacks,Chips,3,9.36,3.12,,
2026-02-07,CUST-1035,East,Produce,Apples,6,12.96,5.18,,
2026-02-08,CUST-1036,West,Beverages,Juice,4,14.72,5.15,,
2026-02-09,CUST-1037,North,Bakery,Cake,2,19.2,6.72,,
2026-02-10,CUST-1038,South,Dairy,Cheese,3,21,6.3,,
2026-02-11,CUST-1039,East,Snacks,Cookies,5,18.2,7.28,,
2026-02-12,CUST-1040,West,Produce,Bananas,8,13.82,5.53,,
2026-02-13,CUST-1041,North,Beverages,Coffee,2,16.56,5.52,,
2026-02-14,CUST-1042,South,Bakery,Bread,5,14.4,4.8,,
2026-02-15,CUST-1043,East,Dairy,Milk,4,14,4.2,,
2026-02-16,CUST-1044,West,Snacks,Chips,3,9.36,3.12,,
2026-02-17,CUST-1045,North,Produce,Apples,6,12.96,5.18,,
2026-02-18,CUST-1046,South,Beverages,Juice,4,14.72,5.15,,
2026-02-19,CUST-1047,East,Bakery,Cake,2,19.2,6.72,,
2026-02-20,CUST-1048,West,Dairy,Cheese,3,21,6.3,,
2026-02-21,CUST-1049,North,Snacks,Cookies,5,18.2,7.28,,
2026-02-22,CUST-1050,South,Produce,Bananas,8,13.82,5.53,,
2026-02-23,CUST-1051,East,Beverages,Coffee,2,16.56,5.52,,
2026-02-24,CUST-1052,West,Bakery,Bread,5,14.4,4.8,,
2026-02-25,CUST-1053,North,Dairy,Milk,4,14,4.2,,
2026-02-26,CUST-1054,South,Snacks,Chips,3,9.36,3.12,,
2026-02-27,CUST-1055,East,Produce,Apples,6,12.96,5.18,,
2026-02-28,CUST-1056,West,Beverages,Juice,4,14.72,5.15,,
2026-03-01,CUST-1057,North,Bakery,Cake,2,19.2,6.72,,
2026-03-02,CUST-1058,South,Dairy,Cheese,3,21,6.3,,
2026-03-03,CUST-1059,East,Snacks,Cookies,5,18.2,7.28,,
2026-03-04,CUST-1060,West,Produce,Bananas,8,13.82,5.53,,
2026-03-05,CUST-1061,North,Beverages,Coffee,2,16.56,5.52,,
2026-03-06,CUST-1062,South,Bakery,Bread,5,14.4,4.8,,
2026-03-07,CUST-1063,East,Dairy,Milk,4,14,4.2,,
2026-03-08,CUST-1064,West,Snacks,Chips,3,9.36,3.12,,
2026-03-09,CUST-1065,North,Produce,Apples,6,12.96,5.18,,
2026-03-10,CUST-1066,South,Beverages,Juice,4,14.72,5.15,,
2026-03-11,CUST-1067,East,Bakery,Cake,2,19.2,6.72,,
2026-03-12,CUST-1068,West,Dairy,Cheese,3,21,6.3,,
2026-03-13,CUST-1069,North,Snacks,Cookies,5,18.2,7.28,,
2026-03-14,CUST-1070,South,Produce,Bananas,8,13.82,5.53,,
2026-03-15,CUST-1071,East,Beverages,Coffee,2,16.56,5.52,,
2026-03-16,CUST-1072,West,Bakery,Bread,5,14.4,4.8,,
2026-03-17,CUST-1073,North,Dairy,Milk,4,14,4.2,,
2026-03-18,CUST-1074,South,Snacks,Chips,3,9.36,3.12,,
2026-03-19,CUST-1075,East,Produce,Apples,6,12.96,5.18,,
2026-03-20,CUST-1076,West,Beverages,Juice,4,14.72,5.15,,
2026-03-21,CUST-1077,North,Bakery,Cake,2,19.2,6.72,,
2026-03-22,CUST-1078,South,Dairy,Cheese,3,21,6.3,,
2026-03-23,CUST-1079,East,Snacks,Cookies,5,18.2,7.28,,
2026-03-24,CUST-1080,West,Produce,Bananas,8,13.82,5.53,,
2026-03-25,CUST-1081,North,Beverages,Coffee,2,16.56,5.52,,
2026-03-26,CUST-1082,South,Bakery,Bread,5,14.4,4.8,,
2026-03-27,CUST-1083,East,Dairy,Milk,4,14,4.2,,
2026-03-28,CUST-1084,West,Snacks,Chips,3,9.36,3.12,,
2026-04-01,CUST-1085,North,Produce,Apples,6,12.96,5.18,,
2026-04-02,CUST-1086,South,Beverages,Juice,4,14.72,5.15,,
2026-04-03,CUST-1087,East,Bakery,Cake,2,19.2,6.72,,
2026-04-04,CUST-1088,West,Dairy,Cheese,3,21,6.3,,
2026-04-05,CUST-1089,North,Snacks,Cookies,5,18.2,7.28,,
2026-04-06,CUST-1090,South,Produce,Bananas,8,13.82,5.53,,
2026-04-07,CUST-1091,East,Beverages,Coffee,2,16.56,5.52,,
2026-04-08,CUST-1092,West,Bakery,Bread,5,14.4,4.8,,
2026-04-09,CUST-1093,North,Dairy,Milk,4,14,4.2,,
2026-04-10,CUST-1094,South,Snacks,Chips,3,9.36,3.12,,
2026-04-11,CUST-1095,East,Produce,Apples,6,12.96,5.18,,
2026-04-12,CUST-1096,West,Beverages,Juice,4,14.72,5.15,,
2026-04-13,CUST-1097,North,Bakery,Cake,2,19.2,6.72,,
2026-04-14,CUST-1098,South,Dairy,Cheese,3,21,6.3,,
2026-04-15,CUST-1099,East,Snacks,Cookies,5,18.2,7.28,,
2026-04-16,CUST-1100,West,Produce,Bananas,8,13.82,5.53,,
